date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
5/5/2010,Argentina,Haiti,4,0,Friendly,Cutral CÃ³,Argentina,FALSE
5/5/2010,Chile,Trinidad and Tobago,2,0,Friendly,Iquique,Chile,FALSE
5/7/2010,Mexico,Ecuador,0,0,Friendly,East Rutherford,United States,TRUE
5/10/2010,Mexico,Senegal,1,0,Friendly,Chicago,United States,TRUE
5/12/2010,Yemen,Malawi,1,0,Friendly,Sana'a,Yemen,FALSE
5/13/2010,Germany,Malta,3,0,Friendly,Aachen,Germany,FALSE
5/13/2010,Mexico,Angola,1,0,Friendly,Houston,United States,TRUE
5/15/2010,Paraguay,North Korea,1,0,Friendly,Nyon,Switzerland,TRUE
5/16/2010,South Korea,Ecuador,2,0,Friendly,Seoul,South Korea,FALSE
5/16/2010,Mexico,Chile,1,0,Friendly,Mexico City,Mexico,FALSE
5/16/2010,South Africa,Thailand,4,0,Friendly,Nelspruit,South Africa,FALSE
5/18/2010,Yemen,Oman,0,1,Friendly,Sana'a,Yemen,FALSE
5/19/2010,Austria,Croatia,0,1,Friendly,Klagenfurt,Austria,FALSE
5/19/2010,Belgium,Bulgaria,2,1,Friendly,Brussels,Belgium,FALSE
5/19/2010,Gabon,Togo,3,0,Friendly,Ajaccio,France,TRUE
5/19/2010,Corsica,Brittany,2,0,Friendly,Ajaccio,France,FALSE
5/20/2010,Aruba,Venezuela,0,3,Friendly,Oranjestad,Aruba,FALSE
5/21/2010,DR Congo,Saudi Arabia,0,2,Friendly,Schwaz,Austria,TRUE
5/21/2010,Estonia,Finland,2,0,Friendly,Tallinn,Estonia,FALSE
5/21/2010,Brittany,Togo,2,1,Friendly,Bastia,France,FALSE
5/21/2010,Corsica,Gabon,1,1,Friendly,Bastia,France,FALSE
5/22/2010,Turkey,Czech Republic,2,1,Friendly,Harrison,United States,TRUE
5/23/2010,Croatia,Wales,2,0,Friendly,Osijek,Croatia,FALSE
5/24/2010,Argentina,Canada,5,0,Friendly,Buenos Aires,Argentina,FALSE
5/24/2010,Australia,New Zealand,2,1,Friendly,Melbourne,Australia,FALSE
5/24/2010,England,Mexico,3,1,Friendly,London,England,FALSE
5/24/2010,Japan,South Korea,0,2,Friendly,Saitama,Japan,FALSE
5/24/2010,Portugal,Cape Verde,0,0,Friendly,CovilhÃ£,Portugal,FALSE
5/24/2010,South Africa,Bulgaria,1,1,Friendly,Johannesburg,South Africa,FALSE
5/25/2010,Armenia,Uzbekistan,3,1,Friendly,Yerevan,Armenia,FALSE
5/25/2010,Georgia,Cameroon,0,0,Friendly,Linz,Austria,TRUE
5/25/2010,Greece,North Korea,2,2,Friendly,Altach,Austria,TRUE
5/25/2010,Republic of Ireland,Paraguay,2,1,Friendly,Dublin,Republic of Ireland,FALSE
5/25/2010,Montenegro,Albania,0,1,Friendly,Podgorica,Montenegro,FALSE
5/25/2010,Nigeria,Saudi Arabia,0,0,Friendly,Wattens,Austria,TRUE
5/25/2010,Ukraine,Lithuania,4,0,Friendly,Kharkiv,Ukraine,FALSE
5/25/2010,United States,Czech Republic,2,4,Friendly,East Hartford,United States,FALSE
5/26/2010,Azerbaijan,Moldova,1,1,Friendly,Seekirchen am Wallersee,Austria,TRUE
5/26/2010,Chile,Zambia,3,0,Friendly,Calama,Chile,FALSE
5/26/2010,Estonia,Croatia,0,0,Friendly,Tallinn,Estonia,FALSE
5/26/2010,France,Costa Rica,2,1,Friendly,Lens,France,FALSE
5/26/2010,Netherlands,Mexico,2,1,Friendly,Freiburg,Germany,TRUE
5/26/2010,Northern Ireland,Turkey,0,2,Friendly,New Britain,United States,TRUE
5/26/2010,Uruguay,Israel,4,1,Friendly,Montevideo,Uruguay,FALSE
5/27/2010,Belarus,Honduras,2,2,Friendly,Villach,Austria,TRUE
5/27/2010,Denmark,Senegal,2,0,Friendly,Aalborg,Denmark,FALSE
5/27/2010,South Africa,Colombia,2,1,Friendly,Johannesburg,South Africa,FALSE
5/28/2010,Republic of Ireland,Algeria,3,0,Friendly,Dublin,Republic of Ireland,FALSE
5/29/2010,Azerbaijan,North Macedonia,1,3,Friendly,Bischofshofen,Austria,TRUE
5/29/2010,Hungary,Germany,0,3,Friendly,Budapest,Hungary,FALSE
5/29/2010,Iceland,Andorra,4,0,Friendly,ReykjavÃ­k,Iceland,FALSE
5/29/2010,Moldova,United Arab Emirates,2,3,Friendly,Anif,Austria,TRUE
5/29/2010,New Zealand,Serbia,1,0,Friendly,Klagenfurt,Austria,TRUE
5/29/2010,Norway,Montenegro,2,1,Friendly,Oslo,Norway,FALSE
5/29/2010,Poland,Finland,0,0,Friendly,Kielce,Poland,FALSE
5/29/2010,Slovakia,Cameroon,1,1,Friendly,Klagenfurt,Austria,TRUE
5/29/2010,Spain,Saudi Arabia,3,2,Friendly,Innsbruck,Austria,TRUE
5/29/2010,Sweden,Bosnia and Herzegovina,4,2,Friendly,Solna,Sweden,FALSE
5/29/2010,Ukraine,Romania,3,2,Friendly,L'viv,Ukraine,FALSE
5/29/2010,United States,Turkey,2,1,Friendly,Philadelphia,United States,FALSE
5/29/2010,Venezuela,Canada,1,1,Friendly,MÃ©rida,Venezuela,FALSE
5/30/2010,Belarus,South Korea,1,0,Friendly,Kufstein,Austria,TRUE
5/30/2010,Chile,Northern Ireland,1,0,Friendly,ChillÃ¡n,Chile,FALSE
5/30/2010,Chile,Israel,3,0,Friendly,ConcepciÃ³n,Chile,FALSE
5/30/2010,Grenada,Martinique,2,2,Friendly,Grenville,Grenada,FALSE
5/30/2010,Japan,England,1,2,Friendly,Graz,Austria,TRUE
5/30/2010,Mexico,Gambia,5,1,Friendly,Bayreuth,Germany,TRUE
5/30/2010,Nigeria,Colombia,1,1,Friendly,Milton Keynes,England,TRUE
5/30/2010,Paraguay,Ivory Coast,2,2,Friendly,Thonon-les-Bains,France,TRUE
5/30/2010,Tunisia,France,1,1,Friendly,RadÃ¨s,Tunisia,FALSE
5/31/2010,South Africa,Guatemala,5,0,Friendly,Polokwane,South Africa,FALSE
5/31/2010,Gozo,Padania,1,2,Viva World Cup,Xewkija,Malta,FALSE
5/31/2010,Iraqi Kurdistan,Two Sicilies,4,1,Viva World Cup,Sannat,Malta,TRUE
6/1/2010,Australia,Denmark,1,0,Friendly,Roodepoort,South Africa,TRUE
6/1/2010,Netherlands,Ghana,4,1,Friendly,Rotterdam,Netherlands,FALSE
6/1/2010,Portugal,Cameroon,3,1,Friendly,CovilhÃ£,Portugal,FALSE
6/1/2010,Switzerland,Costa Rica,0,1,Friendly,Sion,Switzerland,FALSE
6/1/2010,Occitania,Padania,0,1,Viva World Cup,Xewkija,Malta,TRUE
6/1/2010,Provence,Two Sicilies,0,1,Viva World Cup,Sannat,Malta,TRUE
6/2/2010,Albania,Andorra,1,0,Friendly,Tirana,Albania,FALSE
6/2/2010,Azerbaijan,Honduras,0,0,Friendly,Zell am See,Austria,TRUE
6/2/2010,Belarus,Sweden,0,1,Friendly,Minsk,Belarus,FALSE
6/2/2010,Greece,Paraguay,0,2,Friendly,Winterthur,Switzerland,TRUE
6/2/2010,Norway,Ukraine,0,1,Friendly,Oslo,Norway,FALSE
6/2/2010,Romania,North Macedonia,0,1,Friendly,Villach,Austria,TRUE
6/2/2010,Serbia,Poland,0,0,Friendly,Kufstein,Austria,TRUE
6/2/2010,Zimbabwe,Brazil,0,3,Friendly,Harare,Zimbabwe,FALSE
6/2/2010,Gozo,Occitania,0,5,Viva World Cup,Xewkija,Malta,FALSE
6/2/2010,Iraqi Kurdistan,Provence,3,2,Viva World Cup,Sannat,Malta,TRUE
6/3/2010,Germany,Bosnia and Herzegovina,3,1,Friendly,Frankfurt am Main,Germany,FALSE
6/3/2010,Italy,Mexico,1,2,Friendly,Brussels,Belgium,TRUE
6/3/2010,Spain,South Korea,1,0,Friendly,Innsbruck,Austria,TRUE
6/4/2010,France,China PR,0,1,Friendly,Saint-Pierre,RÃ©union,TRUE
6/4/2010,Japan,Ivory Coast,0,2,Friendly,Sion,Switzerland,TRUE
6/4/2010,Luxembourg,Faroe Islands,0,0,Friendly,Hesperange,Luxembourg,FALSE
